Long,lat,Address,Facility,Capacity,License_St,Name,Street,City,State,Zip,Location,Telephone,Contact,DO_Telepho
-122.240020,37.832208,2162 MOUNTAIN BLVD,13420975,20,Licensed,ACADEMIA DE MI ABUELA,2162 MOUNTAIN BLVD,OAKLAND,CA,94611,STE 300,(510) 409-6719,"REIMANN, CYNTHIA",(510) 622-2602
-122.215796,37.723368,1127 62ND AVENUE,13415313,25,Licensed,ACTS FULL GOSPEL CHRISTIAN ACADEMY,1127 62ND AVENUE,OAKLAND,CA,94621,,(510) 638-1978,"KUDOLO, JOANNA",(510) 622-2602
-122.215796,37.723368,1034 66TH AVENUE,13415846,43,Licensed,ACTS FULL GOSPEL CHRISTIAN ACADEMY,1034 66TH AVENUE,OAKLAND,CA,94621,,(510) 568-3333,"MURPHY, ETHEL",(510) 622-2602
-122.244816,37.790915,2236 INTERNATIONAL BLVD,13417566,80,Licensed,ADVANCE DAY CARE CENTER,2236 INTERNATIONAL BLVD,OAKLAND,CA,94606,,(510) 434-9288,"LAM, ENG",(510) 622-2602
-122.218216,37.776860,2372 EAST 14TH STREET,10205830,24,Licensed,AGNES MEMORIAL,2372 EAST 14TH STREET,OAKLAND,CA,94601,,(510) 533-1101,"SIMMONS JR., REV. M.",(510) 622-2602
-122.240020,37.832208,5667 THORNHILL DRIVE,10205969,22,Licensed,APPLEGARDEN MONTESSORI SCHOOL,5667 THORNHILL DRIVE,OAKLAND,CA,94611,,(510) 339-9666,"DRAGSTEDT, NAOME",(510) 622-2602
-122.244816,37.790915,2101 LIVINGSTON STREET,10210724,48,Licensed,BEACON DAY SCHOOL,2101 LIVINGSTON STREET,OAKLAND,CA,94606,,(510) 436-4466,"LEBERT, HELEN",(510) 622-2602
-122.145264,37.759340,7001 SUNKIST DRIVE,10214258,26,Licensed,BERNICE & JOE PLAYSCHOOL,7001 SUNKIST DRIVE,OAKLAND,CA,94605,,(510) 638-3529,"HUISMAN-HUMBERT, BERNICE",(510) 622-2602
-122.145264,37.759340,11200 GOLF LINKS RD,13417988,32,Licensed,BETTY'S CHILDREN'S ACADEMY-PRESCHOOL & CHILD CARE,11200 GOLF LINKS RD,OAKLAND,CA,94605,#D,(510) 430-8789,"MCGHEE, BETTY ZAIDAN",(510) 622-2602
-122.205818,37.804378,3021 BROOKDALE AVENUE,10209844,54,Licensed,BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH,3021 BROOKDALE AVENUE,OAKLAND,CA,94602,,(510) 261-1077,"HALE, LIISA",(510) 622-2602
-122.218216,37.776860,2794 GARDEN STREET,10206158,25,Licensed,BOOTH MEMORIAL DAY CARE,2794 GARDEN STREET,OAKLAND,CA,94601,,(510) 535-5088,"MURRAY, CHERYL",(510) 622-2602
-122.269055,37.809077,1515 CLAY STREET,13418194,32,Licensed,BRIGHT FUTURE EARLY LEARNING CENTER,1515 CLAY STREET,OAKLAND,CA,94612,,(510) 835-4012,"MCNAIR, LAURA",(510) 622-2602
-122.241849,37.814152,394 ADAMS STREET,13411080,42,Licensed,"BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.",394 ADAMS STREET,OAKLAND,CA,94610,,(510) 763-9337,"KENWORTHY, KATHY",(510) 622-2602
-122.218216,37.776860,2370 GRANDE VISTA PLACE,13411608,29,Licensed,BUILDING BLOCKS,2370 GRANDE VISTA PLACE,OAKLAND,CA,94601,,(510) 434-7990,"SPRINSON, LAURA",(510) 622-2602
-122.163858,37.798063,4359 39TH AVENUE,13414363,44,Licensed,CHATHAM SCHOOL,4359 39TH AVENUE,OAKLAND,CA,94619,,(510) 531-1534,"ARNOLD, CAMMY",(510) 622-2602
